_id	OPERADOR	DENOMINACIÓN	TIPO DE OPERADOR	MACRODISTRITO	PLACA	TIPO	MARCA	COLOR
4735	Radio Taxi	RADIO MOVIL EUROSUR	Empresa	MACRODISTRITO 5 SUR-IRPAVI	2914IID	CALDINA	TOYOTA	VERDE
4736	Radio Taxi	SERVICIOS GENERALES DE TRANSPORTE AMERICA S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	5757LPS	ex 80	KEYTON	ROJO
4737	Radio Taxi	RADIO TAXI MASTER GAUCHO DE IRPAVI	Empresa	MACRODISTRITO 5 SUR-IRPAVI	4511XUF	EX 80	KEYTON	GRIS
4738	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	737XIG	COROLLA	TOYOTA	VERDE
4739	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1737XIG	COROLLA	TOYOTA	VERDE
4740	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	2751TGR	COROLLA	TOYOTA	Blanco
4741	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1740YLN	Carib	TOYOTA	NEGRO
4742	Radio Taxi	RADIO TAXI GOBERNADOR	Empresa	MACRODISTRITO 3 PERIFERICA-VILLA FATIMA	2354IGT	SX4	SUZUKI	PLATA
4743	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	2428ITI	SWIFT	SUZUKI	NEGRO
4744	Radio Taxi	SERVI MOVIL TRUST TOURING S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-ROSARIO	1855XEB	VAGONETA	DAIHATSU	AZUL
4745	Radio Taxi	PLUS SERVICE	Empresa	MACRODISTRITO 5 SUR-CALACOTO	3090KLK	fielder	TOYOTA	AZUL
4746	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1700RKF	carib	TOYOTA	PLATEADO
4747	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1223XSI	SPRINTER	TOYOTA	BLANCO
4748	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1223XSL	SPRINTER	TOYOTA	BLANCO
4749	Radio Taxi	RADIO MOVIL CARLI SUR	Empresa	MACRODISTRITO 5 SUR-CALACOTO	2141HBB	COROLLA	TOYOTA	CELESTE
4750	Radio Taxi	TRANS SERVICE SOLSTICIO	Empresa	MACRODISTRITO 2 MAXIMILIANO PAREDES-CHAMOCO CHICO	4420XPN	siena	FIAT	BLANCO
4751	Radio Taxi	SERVIVALLE DEL SUR S.R.L.	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	3440ZEG	COROLLA	TOYOTA	DORADO
4752	Radio Taxi	TRANS SERVICE SOLSTICIO	Empresa	MACRODISTRITO 2 MAXIMILIANO PAREDES-CHAMOCO CHICO	4535FZL	radio taxi	FIAT	BLANCO
